feature,lr_coef,abs_coef
total_cost,1.0538103355141428,1.0538103355141428
customer_signature,-0.8451758797303605,0.8451758797303605
equipment_age_months,0.7869307445037906,0.7869307445037906
total_duration,-0.7527759806308721,0.7527759806308721
repair_duration,0.6248086223866028,0.6248086223866028
customer_complaint,0.6055989217360683,0.6055989217360683
budget_limit,-0.5486885787857141,0.5486885787857141
photo_count,-0.544599748485274,0.544599748485274
report_uploaded,-0.5158295531799544,0.5158295531799544
is_reopened,0.3936890487090078,0.3936890487090078
customer_satisfaction,-0.31831670958297215,0.31831670958297215
reopen_within_days,0.3130513384242375,0.3130513384242375
technician_workload_today,-0.2798755037026153,0.2798755037026153
arrival_delay,0.22771559038956066,0.22771559038956066
fault_category_enc,-0.203820403268339,0.203820403268339
accept_delay,-0.19230471171172772,0.19230471171172772
severity_enc,0.14246371133205954,0.14246371133205954
response_time,0.1341847094299636,0.1341847094299636
sla_minutes,-0.1066038746948537,0.1066038746948537
technician_level_enc,-0.08907172944029391,0.08907172944029391
ticket_type_enc,-0.08628596367797033,0.08628596367797033
is_warranty,0.06380009961091998,0.06380009961091998
dispatch_delay,-0.05515482170011284,0.05515482170011284
equipment_type_enc,0.040964753156248535,0.040964753156248535
region_enc,0.03354728945013,0.03354728945013
priority_enc,0.03209110434008101,0.03209110434008101
